Source,Target,Export,Import,Diplomatic,War,Border,International Cases,Treaties,Exchange Rate,Religion_conflicts,,
Albania,Finland,587400,11760000,1,0,0,0,0,123.648923,1,,
Albania,France,31590000,115040000,1,0,0,0,0,123.648923,1,,
Albania,Gabon,28260,79410,0,0,0,0,0,0.188613105,1,,
Albania,Gambia,11750,220,0,0,0,0,0,2.015801297,0,,
Albania,Georgia,171520,34560,1,0,0,0,0,31.51353259,0,,
Albania,Germany,124480000,459370000,1,1,0,0,1,123.648923,1,,
Albania,Ghana,21750,96070,0,0,0,0,0,17.97039096,1,,
Albania,Greece,121500000,482800000,1,0,0,0,0,123.648923,0,,
Albania,Grenada,0,3,0,0,0,0,0,38.59948155,1,,
Albania,Guatemala,10180,384460,0,0,0,0,0,13.43880173,1,,
Albania,Guinea,14670,6400,0,0,0,0,0,0.010669552,1,,
Albania,Guinea-Bissau,0,19900,0,0,0,0,0,0.188609924,1,,
Albania,Guyana,0,1370,0,0,0,0,0,0.499914971,2,,
Albania,Haiti,92100,717,0,0,0,0,0,104.3170007,1,,
Albania,Honduras,2,90740,0,0,0,0,0,4.259962396,1,,
Albania,Hungary,25260000,40180000,1,0,0,0,1,0.344303215,1,,
Albania,Iceland,38430,154120,1,0,0,0,0,0.7666449,1,,
Albania,India,5710000,52900000,1,0,0,0,0,1.400457005,1,,
Albania,Indonesia,601,17840000,0,0,0,0,0,0.007423115,1,,
Albania,Iran,137850,2240000,1,0,0,0,0,0.002477545,1,,
Albania,Iraq,2030000,256380,0,0,0,0,0,0.08760849,1,,
Albania,Ireland,328750,18350000,1,0,0,1,0,123.648923,1,,
Albania,Israel,1380000,65040000,1,0,0,0,0,30.96885731,1,,
Albania,Italy,1380000000,1620000000,1,1,0,0,0,123.648923,1,,
Albania,Jamaica,670,1360,0,0,0,0,0,0.713926798,1,,
Albania,Japan,5490000,23540000,1,0,0,0,0,0.998115559,1,,
Albania,Jordan,23460,283880,0,0,0,0,0,147.1378646,1,,
Albania,Kazakhstan,337100,1190000,1,0,0,0,0,0.243431039,1,,
Albania,Kenya,929,152300,0,0,0,0,0,0.954848243,1,,
Albania,Kiribati,17530,9270,0,0,0,0,0,76.31834563,1,,
Albania,Kosovo,0,0,1,1,0,0,0,123.648923,1,,
Albania,Kuwait,289950,233480,1,0,0,0,0,341.0120493,1,,
Albania,Kyrgyzstan,11700,180560,0,0,0,0,0,1.230134662,0,,
Albania,Laos,0,15460,0,0,0,0,0,0.011281978,1,,
Albania,Latvia,311910,2010000,1,0,0,0,0,123.648923,1,,
Albania,Lebanon,709220,7820000,0,0,0,0,0,0.069160769,1,,
Albania,Lesotho,0,3580,0,0,0,0,0,6.799266421,1,,
Albania,Liberia,1180,274,0,0,0,0,0,0.664438788,1,,
Albania,Libya,1800000,22570000,1,0,0,0,0,76.71133086,0,,
Albania,Liechtenstein,0,0,1,0,0,0,0,114.2987165,1,,
Albania,Lithuania,755630,5400000,1,0,0,0,0,123.648923,1,,
Albania,Luxembourg,20450,798300,1,0,0,0,0,123.648923,1,,
Albania,Madagascar,4900,32060,0,0,0,0,0,0.026424605,1,,
Albania,Malawi,3960,7440,0,0,0,0,0,0.137925038,1,,
Albania,Malaysia,107430,11020000,1,0,0,0,0,25.41526479,1,,
Albania,Maldives,0,661,0,0,0,0,0,6.79571827,0,,
Albania,Mali,290470,418,0,0,0,0,0,0.188609924,1,,
Albania,Malta,6850000,178490,1,0,0,0,0,123.648923,1,,
Albania,Marshall-Islands,1680000,6380,0,0,0,0,0,104.3170007,1,,
Albania,Mauritania,3540,119480,0,0,0,0,0,0.29220415,0,,
Albania,Mauritius,29390,109860,0,0,0,0,0,2.604682786,1,,
Albania,Mexico,2170000,7390000,0,0,0,0,0,5.140112754,1,,
Albania,Micronesia,0,0,0,0,0,0,0,104.3170007,1,,
Albania,Moldova,395410,415860,1,0,0,0,0,6.11604698,0,,
Albania,Monaco,0,0,1,0,0,0,0,123.648923,1,,
Albania,Mongolia,400,5360,0,0,0,0,0,0.036817514,1,,
Albania,Montenegro,52710000,20950000,1,0,0,0,0,123.648923,0,,
Albania,Morocco,1320000,2820000,0,0,0,0,0,11.43122103,0,,
Albania,Mozambique,10950,3600,0,0,0,0,0,1.418796297,1,,
Albania,Myanmar,510,538720,0,0,0,0,0,0.080701111,1,,
Albania,Namibia,2080,20080,0,0,0,0,0,6.799266421,1,,
Albania,Nauru,8910,431,0,0,0,0,0,76.31834563,1,,
Albania,Nepal,516,40420,0,0,0,0,0,0.878176679,1,,
Albania,Netherlands,37080000,57670000,1,0,0,0,0,123.648923,0,,
Albania,New-Zealand,130400,109660,0,0,0,0,0,71.94424723,1,,
Albania,Nicaragua,516,142700,0,0,0,0,0,3.001294027,1,,
Albania,Niger,22660,162120,0,0,0,0,0,0.188609924,0,,
Albania,Nigeria,3150,2380000,0,0,0,0,0,0.271129182,1,,
Albania,North-Korea,2200,33240,0,0,0,0,0,0.115900433,0,,
Albania,macedonia,79140000,88910000,1,0,0,0,1,2.007935694,1,,
Albania,Norway,491960,5610000,1,0,0,0,0,11.49043247,1,,
Albania,Oman,145120,66890,0,0,0,0,0,270.9525451,1,,
Albania,Pakistan,44670,6800000,0,0,0,0,0,0.661953309,1,,
Albania,Palau,0,622,0,0,0,0,0,104.3170007,1,,
Albania,Palestine,0,0,1,0,0,0,0,30.96885731,1,,
Albania,Panama,358570,320140,0,0,0,0,0,104.3170007,1,,
Albania,Papua-New-Guinea,0,204,0,0,0,0,0,29.4112217,1,,
Albania,Paraguay,6000,1630000,0,0,0,0,0,0.014862511,1,,
Albania,Peru,230410,907790,0,0,0,0,0,28.70509592,1,,
Albania,Philippines,2400,755690,0,0,0,0,0,2.161338253,1,,
